,mati,luka,rumah,magnitudo,orang / kk
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,10,0,0
4,0,0,0,0,0
5,0,0,0,0,1
6,0,0,2,0,1
7,4,0,1,0,4
8,0,0,1,0,0
9,0,0,0,0,0
10,0,0,2,0,2
11,0,0,1,5.3,0
12,0,0,3,0,0
13,0,0,0,0,0
14,0,1,0,0,400000
15,0,0,0,0,1
16,1,1,0,0,0
17,0,0,0,0,1
18,0,0,0,5.1,3
19,0,0,30,0,150
20,0,4,35,0,1
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,1,0,0
24,0,0,104,0,0
25,0,0,0,0,0
26,0,0,0,6.1,1
27,0,0,0,0,0
28,0,0,0,4.6,1
29,1,10,0,7.3,1
30,0,0,5,0,1
31,0,0,0,0,0
32,0,0,0,0,0
33,1,1,1,0,1
34,0,0,0,0,0
35,0,0,0,0,1
36,0,0,2,0,1
37,0,0,0,0,0
38,0,0,0,2.7,0
39,0,0,0,0,0
40,1,1,0,0,1
41,0,0,0,0,0
42,0,0,29,0,0
43,0,0,0,0,1
44,0,0,1,4.6,0
45,0,0,0,5.9,0
46,1,0,1,0,4
47,0,0,1,0,0
48,0,0,0,0,0
49,0,0,0,5.1,0
50,0,0,1,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,2.7,0
55,0,0,0,5.5,0
56,0,2,0,0,2
57,0,0,0,0,1
58,0,0,1,0,0
59,0,0,86,0,0
60,0,0,1,0,0
61,0,0,0,0,0
62,0,0,3,0,1
63,0,0,6,0,0
64,1,0,0,0,0
65,0,0,0,0,0
66,0,0,0,2.7,0
67,1,1,1,0,1
68,0,0,0,0,0
69,0,0,1,0,1
70,0,0,1,0,0
71,0,1,7,0,1
72,0,0,1,0,0
73,0,0,0,0,0
74,0,0,1,0,1
75,0,0,0,0,0
76,0,0,1,0,1
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,3.2,0
80,0,0,772,0,0
81,0,0,1,0,1
82,0,0,0,0,1
83,0,0,0,0,0
84,0,0,0,0,1
85,1,2,20,0,1
86,0,0,0,0,1
87,0,0,0,0,0
88,0,0,1,0,1
89,0,0,2,0,1
90,0,0,0,0,0
91,0,0,1,0,0
92,0,0,0,4.4,0
93,20,0,1,0,20
94,0,2,1,0,2
95,0,0,1,0,0
96,0,0,1,0,1
97,0,1,1,0,1
98,0,0,1,4.4,0
99,0,0,0,3.5,1
100,0,0,8,0,1
101,0,0,0,0,300
102,0,0,0,0,1
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,1,0,0,1
107,0,0,4,0,0
108,1,0,1,0,1
109,0,0,0,0,0
110,0,1,1,4.8,1
111,0,0,10,0,1
112,0,0,1,0,0
113,1,1,0,0,0
114,0,0,1,0,0
115,0,0,1,0,0
116,0,0,10,0,0
117,0,0,0,0,1
118,0,0,0,0,0
119,0,0,0,2.8,0
120,0,0,0,0,0
121,0,1,1,0,0
122,0,0,0,0,0
123,0,1,1,0,1
124,0,0,0,0,20000
125,0,0,9,0,0
126,0,0,1,5.2,0
127,0,0,20,0,0
128,0,0,1,0,0
129,0,0,1,0,1
130,0,0,0,0,0
131,0,0,13,0,1
132,0,0,1,0,1
133,0,0,1,0,0
134,0,0,1,5.1,0
135,0,0,0,0,1
136,1,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,2,0,1
140,0,0,1,4.6,0
141,0,0,0,0,10
142,0,0,0,5,0
143,0,0,0,0,0
144,0,1,1,1,4
145,0,0,0,0,10
146,8,0,0,0,8
147,0,0,1,0,0
148,0,0,1,0,10
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,1,4.6,2
152,0,0,1,4.9,2
153,0,0,0,0,1
154,0,0,1,0,0
155,0,0,1,0,1
156,0,0,0,0,9
157,0,0,0,0,0
158,0,0,1,0,0
159,0,0,0,0,0
160,0,0,0,0,300
161,0,0,7,0,1
162,0,0,0,0,0
