title,date,description,source
5 Gempa Guncang Jatim Hari Ini,"Senin, 02 Mei  2022 19:29 WIB","\-

Gempa di Jawa Timur terjadi 5 kali hari ini. Gempa bumi itu tersebar di empat
kabupaten. Yakni, Malang, Trenggalek, Jember, Ponorogo dan Pacitan.

Guncangan gempa terjadi pertama kali di Kabupaten Malang bermagnitudo 3.0.
Peristiwa itu terjadi pukul 00.30.23 WIB, Senin (2/5/2022).

Pusat gempa berada di 8.79 Lintang Selatan 112.47 Bujur Timur. Atau 73 KM
Barat Daya Kabupaten Malang dengan kedalaman 38 Km.

Gempa kedua terjadi pukul 00.36.03 bermagnitudo 3.1. Gempa itu terjadi di 128
KM Tenggara Trenggalek.

""Lokasi gempa di 9.24 Lintang Selatan 111.74 Bujur Timur dengan kedalaman 78
Km,"" tulis BMKG seperti yang dilihat .

![gempa pacitan m
2,7](https://akcdn.detik.net.id/community/media/visual/2022/05/02/gempa-
pacitan-m-27-3.jpeg?w=344)Gempa Pacitan m 2,7/ Foto: Tangkapan Layar (BMKG)  
  
---  
  
Sementara gempa ketiga terjadi di Jember. Gempa bermagnitudo 2,5 terjadi pukul
02.17.01 WIB ini di 39 Km Tenggara Jember. Lokasi gempa Jember di kedalaman 78
KM dengan lokasi 8.55 Lintang Selatan113.66 Bujur Timur.

Selain itu gempa keempat terjadi di Ponorogo. Gempa darat bermagnitudo 2,4 ini
terjadi pukul 02.17.01 WIB di 39 Km Tenggara Jember.

Sedangkan Gempa Pacitan bermagnitudo 2,7 hari ini terjadi pukul 09.56.32 WIB.
Lokasi gempa Pacitan di 8.68 Lintang Selatan 111.16 Bujur Timur.

""Di tenggara Pacitan dengan kedalaman 33 Km,"" tambah BMKG.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Kekeringan, 'Jokowi' Pun Ditanam di Dasar Sungai Citarum","Rabu, 25 Sep 2019 12:49 WIB","\- Kemarau panjang membuat air Sungai Citarum mengering. Dasar aliran sungai
yang dibendung Waduk Saguling itu akhirnya dimanfaatkan warga Desa
Rancapanggung, Cililin, Kabupaten Bandung Barat (KBB), untuk menanam padi
'Jokowi' dan jagung.  
  
Ketinggian muka air, yang semula sekitar 15 meter dari tepian, sekarang turun
dan hanya menyisakan aliran kecil dengan kedalaman kurang dari 2 meter.  
  
Tepat pukul 06.00 WIB, Maryati (51) dan enam emak-emak lainnya datang ke
tepian Sungai Citarum, tepatnya di Jembatan Ciminyak.  
  

Mereka membawa arit dan bekal makanan dalam gembolannya, lalu membabat rumput
yang berada di sekitar padi yang mereka tanam di celah-celah tanah dasar
Sungai Citarum yang retak karena kekeringan.  
  
""Sudah hampir lima bulan air sungainya surut. Memang setiap tahun, kalau
datang musim kemarau seperti ini, kami tanam padi dan jagung saja,"" ujar
Maryati saat ditemui di bawah jembatan Ciminyak, Rabu (25/9/2019).  
  
Maryati merupakan buruh tani dadakan tiap kali Sungai Citarum mengering. Ia
diupah Rp 40 ribu per enam jam kerja setiap harinya untuk menanam dan merawat
beberapa petak sawah padi di Citarum.  
  
""Yang ditanam itu namanya padi 'Jokowi', lama panennya singkat, hanya empat
bulan dan nggak perlu air banyak,"" ujar Maryati. Ia tak mengetahui apa nama
jenis padi tersebut. Hanya, warga dan petani di sana menyebutnya benih padi
'Jokowi""  
  
""Sebenarnya ini untung-untungan saja. Kalau musim hujan datang lebih cepat, ya
nggak bisa kepanen semuanya, mungkin semua lahan garapan bisa terpanen di
akhir tahun nanti,"" ujar Maryati.  
  
Ia tak bisa merinci berapa luas tiap petak lahan. Namun, dari tiga petak itu,
tiap tahunnya ia bisa memanen hingga 3 ton beras. ""Berasnya biasa dijual sama
majikan ke Bandung dan sekitarnya,"" ucapnya.

 ",www.detik.com
"Selain Terjang SPBU, Angin Kencang juga Rusak 15 Rumah Warga Ambarawa","Minggu, 08 Mar 2020 21:34 WIB","\-

Angin kencang yang merusak SPBU di Ambarawa hingga porak poranda ternyata juga
menyebabkan 15 rumah rusak. Kerusakan berupa atap rusak dan juga tertimpa
pohon.  
  
Kepala BPBD Jawa Tengah, Sudaryanto memberikan hasil pendataan BPBD Kabupaten
Semarang. Disebutkan kerusakan ada di Desa Gondoriyo, Kecamatan Jambu,
Kabupaten Semarang.  
  
""Terdampak 15 rumah rusak ringan, 1 SPBU rusak,"" kata Sudaryanto, Minggu
(8/3/2020).  
  

  
Dari 15 rumah rusak ringan itu mayoritas karena atap yang diterjang angin. Ada
2 di antaranya yang rusak akibat pohon tumbang yang juga diakibatkan angin
kencang.  
  
""Angin puting beliung menyebabkan pohon tumbang yang menimpa rumah dan
memporakporandakan sebagian genting dan atap asbes,"" jelasnya.  
  
BPBD Kabupaten Semarang sudah mengupayakan bantuan dengan memotong dahan-dahan
pohon yang tumbang dan membersihkan material yang berhamburan.  
  

  
Untuk diketahui, siang tadi puting beliung merusak SPBU 44.507.16 di Jalan
Raya Bawen-Pingit KM 41.5, Ngampin, Ambarawa. Angin yang berputar kencang
mengangkat atap SPBU dan memporakporandakannya. Satu petugas terluka di kaki
akibat peristiwa itu.

 ",www.detik.com
Belasan Rumah dan 1 Merajan di Buleleng Rusak Diterjang Angin,"Kamis, 26 Mei  2022 22:01 WIB","\-

Hujan deras disertai dengan angin kencang yang terjadi dihampir seluruh
wilayah Kabupaten Buleleng, Kamis (26/5/2022) kembali mengakibatkan bencana
alam di beberapa lokasi. Akibatnya belasan rumah di dua wilayah Kabupaten
Buleleng tercatat mengalami kerusakan.

Kepala Badan Penanggulangan Bencana Daerah (BPBD) Kapupaten Buleleng Putu
Ariadi Pribadi, mengatakan bahwa terdapat 16 bangunan milik warga yang
mengalami kerusakan ringan hingga berat terjadi di dua lokasi yakni di Desa
Patas Kecamatan Gerokgak dan Kelurahan Kendran, Kecamatan Buleleng

Ariadi menyebut kerusakan terparah ada di Desa Patas dengan kerusakan sebanyak
11 bangunan mulai dari rumah, dapur, dan kamar mandi warga tidak luput dari
terjangan angin.

  

Sedangkan untuk Kelurahan Kendran dilaporkan 1 merajan (tempat suci) dan 4
pelinggih rusak berat serta empat rumah juga mengalami kerusakan pada bagian
atapnya.

""Total ada 16 bangunan milik warga yang mengalami kerusakan. Termasuk
pelinggih yang roboh akibat terjangan angin kencang.Kerusakannya dan
kerugiannya pun beragam. Kebanyakan kerusakan pada atap,"" katanya, Kamis
(26/5/2022).

Lanjut ariadi menyebutkan bahwa tidak ada korban jiwa dalam bencana tersebut.
Namun kerugian materil diperkirakan mencapai angka Rp 59,2 Juta.

Kemudian terhadap beberapa korban yang rumahnya mengalami kerusakan akibat
bencana alam, kata Ariadi pihaknya akan segera memberikan bantuan terhadap
para korban. Ia juga menghimbau kepada masyarakat untuk waspada terhadap cuaca
yang tidak menentu seperti saat ini.

""Segera kami akan bantu korban yang terdampak baik itu berupa sembako maupun
terpal. Kami juga tetap menghimbau agar masyarakat tetap berhati-hati dan
waspada terhadap cuaca saat ini, karena bencana tidak ada yang tahu kapan akan
terjadi,"" tukasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Gempa M 5,2 Guncang Bolsel Sulut, Tidak Berpotensi Tsunami","Kamis, 12 Mei  2022 14:36 WIB","\-

Gempa bumi berkekuatan magnitudo (M) 5,2 mengguncang di Bolaang Uki, Kabupaten
Bolaang Mongondow Selatan (Bolsel), Sulawesi Utara (sulut). Pusat gempa berada
di laut.

Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) menyampaikan informasi
gempa tersebut pada Kamis (12/5/2022). Gempa terjadi pada pukul 15.22 Wita.

""Gema Mag:5,2,"" tulis BMKG melalui akun Twitternya _@infoBMKG_ , Kamis (12/5).

  

Lokasi gempa berada di 74 km Barat Daya Bolaang Uki, Bolsel. Gempa terjadi di
kedalaman 116 km.

""Tidak berpotensi tsunami,"" kata BMKG.

Hingga kini belum ada informasi terkait dampak dari gempa yang terjadi.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Longsor dan Pergerakan Tanah di Cianjur, Sawah Rusak-31 Jiwa Terancam","Selasa, 25 Mei  2021 13:31 WIB","\-

Longsor dan pergerakan tanah terjadi di Desa Kanoman, Kecamatan Cibeber,
Cianjur, Jawa Barat, Selasa (25/5/2921). Akibatnya beberapa hektar sawah rusak
dan 31 jiwa terancam.

Informasi yang dihimpun, longsor di Kampung Cirawa RT 01/ RW 10 Desa Kanoman
terjadi pada Selasa pagi. Sebelumnya hujan deras mengguyur semalaman.

Sekretaris BPBD Kabupaten Cianjur Irfan Sopyan mengatakan hujan deras membuat
retakan tanah di kawasan tersebut berujung longsoran.

""Tanah di lereng perbukitan yang dijadikan lahan sawah itu memang labil dan
terjadi retakan tanah. Jadi begitu diguyur hujan deras, terjadi longsor,"" ucap
Irfan.

Menurutnya longsoran hanya mengakibatkan beberapa hektar sawah warga rusak.
Namun longsor juga mengancam enam rumah warga dengan 31 jiwa.

""Dampaknya sawah rusak dan ada enam rumah di bawah lereng yang longsor yang
terancam,"" ucapnya.

Menurutnya warga diminta untuk evakuasi ke rumah kerabat terdekatnya. Sebab
saat ini terjadi pergerakan tanah yang berpotensi mengakibatkan longsor
susulan.

""Iya terjadi juga pergerakan tanah pasca longsor. Berpotensi menimbulkan
longsor susulan. Makanya kita upayakan evakuasi warga. Jika pun ada yang
memilih bertahan, kita minta untuk terus waspada,"" ujarnya.

[Gambas:Video 20detik]

  
  
  

 ",www.detik.com
"Gempa M 7,3 Jepang, Wadubes RI: Belum Ada Laporan WNI Terdampak","Kamis, 17 Mar 2022 06:38 WIB","\-

Gempa berkekuatan magnitudo (M) 7,3 mengguncang wilayah Fukushima, Jepang.
Wakil Duta Besar RI untuk Jepang Tri Purnajaya mengatakan getaran sempat
terasa kencang dan cukup lama saat itu.

""Iya semalam terasa kencang getarannya dan agak lama,"" kata Tri saat dihubungi
detikcom, Kamis (17/3/2022).

Tri mengatakan pihaknya langsung menghubungi para WNI yang ada di Jepang usai
terjadinya gempa besar tersebut. Dia memastikan hingga kini belum ada WNI yang
terdampak.

""Dalam situasi begini KBRI langsung mengontak simpul-simpul masyarakat di
Jepang untuk mengetahui kondisi dan kabar mereka, sampai saat ini belum ada
laporan WNI yang terdampak,"" ucapnya.

Tri mengatakan kondisi saat ini di Jepang masih terjadi pemadaman listrik di
sebagian wilayah. Dia menyebut infrastruktur bangunan di Jepang juga masih
terlihat baik pasca gempa tersebut.

""Kami masih memantau, sebagian wilayah aliran listrik padam, infrastruktur
Jepang rata-rata masih dalam kondisi baik,"" ujarnya.

Simak selengkapnya peringatan tsunami Jepang dicabut.

[Gambas:Video 20detik]

  
  

Selanjutnya __

Halaman

1  2

 ",www.detik.com
"Antisipasi Kekeringan, Warga Desa Mondokan Dibuatkan Sumur Air","Jumat, 11 Okt 2019 17:30 WIB","\- Kemarau panjang melanda beberapa wilayah di Indonesia. Sebagian wilayah pun
mengalami kekeringan yang berdampak pada berkurangnya ketersediaan air. BMKG
memprediksi puncak musim kemarau akan terjadi pada September dan Oktober 2019.
Salah satu wilayah terdampak yaitu Kabupaten Sragen dan sekitarnya.  
  
Melihat fenomena tersebut, Gojek berkolaborasi dengan mitra GoCar Solo Raya
membantu warga Desa Mondokan, Kedawung, Sragen yang saat ini mulai terdampak
kemarau panjang dengan menghadirkan sumur air.  
  
""Sebagai bagian dari warga Solo Raya kami mempunyai empati yang besar untuk
meringankan beban warga yang saat ini mulai mengalami kesulitan air untuk
kebutuhan sehari-hari. Kami berharap sumur air ini dapat bermanfaat dan
memberikan inspirasi banyak pihak untuk membantu warga yang sedang mengalami
kekeringan saat ini,"" ungkap District Head Gojek Solo Raya, Mariana Wijayanti,
dalam keterangan tertulis, Jumat (11/10/2019).  
  

  
Peresmian sumur air ini dilakukan oleh Wakil Bupati Sragen, Deddy Endriyatno
bersama manajemen Gojek, perangkat kabupaten dan desa setempat. Selain
peresmian sumur air, kegiatan ini juga disertai dengan pemeriksaan gratis
untuk warga oleh Puskesmas Mondokan dan donor darah bersama PMI Sragen.  
  
""Saya pribadi dan warga Mondokan menyampaikan apresiasi kepada Gojek dan Mitra
Driver GoCar atas kepeduliannya kepada warga kami untuk mengantisipasi kemarau
panjang dan kekeringan. Semoga sumur ini dapat bermanfaat bagi warga,""
ujarnya.  
  
Kolaborasi Gojek dan Mitra GoCar dalam aksi sosial ini dikatakan sebagai wujud
komitmen Gojek untuk memberikan manfaat yang positif bagi masyarakat di
wilayah operasional. Sumur air ini berlokasi di lahan milik Tri Nugroho, salah
seorang mitra GoCar.  
  
  
Sumber air ini kemudian ditampung di tandon utama yang dapat menampung 9 ribu
liter air untuk dialirkan ke sekitar 70 keluarga dengan bantuan pipa. Sumur
air ini berasal dari air tanah yang diambil dengan metode bor sedalam 45
meter.  
  
""Kami sangat senang sekali dapat berkolaborasi dengan Gojek untuk membantu
warga Desa Mondokan menyediakan air bersih. Semoga sumur air ini dapat
bermanfaat khususnya bagi kesehatan warga setempat,"" pungkas Deddy.  
  
  

[Gambas:Video 20detik]

 ",www.detik.com
"Angin Kencang Landa Klaten, Rumah Rusak-Kandang Ambruk","Sabtu, 02 Apr 2022 18:57 WIB","\-

Hujan deras disertai angin kencang menerjang wilayah Kecamatan Kebonarum dan
Karangnongko, Klaten, Jawa Tengah. Kencangnya tiupan angin membuat 2 rumah
tertimpa pohon, satu kandang ambruk dan pepohonan tumbang.

""Di wilayah saya delapan pohon tumbang menutup akses. Tidak ada rumah yang
rusak,"" jelas Kades Demak Ijo, Kecamatan Karangnongko, Ery Karyatno kepada ,
Sabtu (2/4/2022) petang

Dijelaskan Ery, hujan deras turun sekitar pukul 15.30 WIB. Angin berputar dari
selatan menerjang wilayahnya dan terus berputar.

""Kejadian sekitar pukul 16.00 WIB, angin dari selatan. Terus berputar ke
daerah Ngrundul, Kecamatan Kebonarum,"" papar Ery.

Selain menumbangkan pohon di desanya, sebut Ery, kerusakan bangunan ada di
Desa Ngrundul. Sebuah bangunan kandang bebek ambruk usai dilanda angin
kencang.

""Di Ngrundul banyak pohon tumbang, satu kandang bebek di pertigaan ambruk. Di
Demak Ijo tidak ada bangunan rusak dan evakuasi pohon sudah dilakukan,"" lanjut
Ery.

Sekretaris BPBD Kabupaten Klaten, Nur Tjahjono menjelaskan dampak hujan deras
terdapat beberapa pohon tumbang. Pendataan sementara, dua rumah rusak tertimpa
pohon.

""Dampaknya di Desa Ngrundul, Kecamatan Kebonarum ada dua rumah tertimpa pohon.
Ini sedang dikondisikan teman-teman TRC BPBD, relawan dan pemerintah,"" jelas
Nur ditemui di lokasi.

Nur mengatakan, ada pohon beringin cukup besar tumbang ke mata air. Selain itu
ada kandang bebek rusak dan tidak ada korban.

""Satu kandang bebek ambruk, rusak. Tidak ada korban dan ini masih terus
dikondisikan kawan-kawan di lapangan,"" imbuhnya.

Masyarakat, lanjut Nur, diminta tetap waspada dengan hujan deras dan angin
kencang. Sebab cuaca buruk masih berpotensi terjadi di Klaten.

""Hujan lebat, petir dan angin kencang masih mungkin terjadi sehingga
masyarakat tetap diminta waspada. Meskipun ini sudah lewat puncak hujan tapi
masuk pancaroba,"" pungkasnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"159 Rumah Rusak Gegara Puting Beliung, Mayoritas Atap Hilang","Sabtu, 24 Okt 2020 14:19 WIB","\-

Puting beliung yang menyerang Kaliabang Tengah, Bekasi, pada Jumat (23/10)
siang menyebabkan sejumlah rumah rusak. Berdasarkan data BPBD Kota Bekasi,
tercatat terdapat 159 rumah warga di Kaliabang Tengah yang rusak karena
terdampak angin kencang.

Menurut Ketua RW 06 Kaliabang Tengah H Sanusi, sebanyak 159 rumah warga yang
rusak memiliki kondisi yang berbeda-beda. Dari 159 rumah yang rusak, sebanyak
117 rumah ada di RW 06 yang dipimpin Sanusi. Dia pun mengklasifikasikannya
dalam tiga kondisi dari 159 rumah yang rusak itu.

""Sebanyak 70 kondisi parah, 50 rusak sedang, dan sisanya 39 ringan,"" ujar
Sanusi, Sabtu (24/10/2020).

Pantauan , ada beberapa rumah yang memang dalam kondisi parah. Salah satunya
adalah rumah berwarna oranye yang dikunjungi oleh anggota DPR RI Sukur
Nababan, Wakil Wali Kota Bekasi Tri Adhianto Cahyono, anggota DPRD Bekasi
Fraksi PDIP Arif Rahman Hakim, dan anggota DPRD Bekasi Fraksi PDIP Wasimin.

![Rumah di Kaliabang Tengah, Bekasi, Jawa Barat, rusak kena puting beliung.
\(Adhyasta
Dirgantara/detikcom\)](https://akcdn.detik.net.id/community/media/visual/2020/10/24/rumah-
di-kaliabang-tengah-bekasi-jawa-barat-rusak-kena-puting-beliung-adhyasta-
dirgantaradetikcom-1.jpeg?w=1040)Rumah di Kaliabang Tengah, Bekasi, Jawa
Barat, rusak kena puting beliung. (Adhyasta Dirgantara/detikcom)  
  
---  
  
Pasalnya, mayoritas atap dari rumah tersebut sudah bolong sehingga tidak layak
ditempati. Jika sewaktu-waktu hujan turun, air akan memenuhi rumah tersebut.

Kemudian ada juga rumah berwarna hijau yang rusak hingga rangka atapnya. Saat
ini rangka atap rumah tersebut dalam proses perbaikan.

Bagaimanapun, belum semua rumah dilakukan perbaikan. Ada pula rumah berwarna
putih yang masih didiamkan begitu saja karena masuk ke klasifikasi kondisi
rusak parah.

Selanjutnya __

Halaman

1  2

 ",www.detik.com
