nama,lokasi
bali,provinsi
bangka belitung,provinsi
banten,provinsi
bengkulu,provinsi
di yogyakarta,provinsi
dki jakarta,provinsi
gorontalo,provinsi
jambi,provinsi
jawa barat,provinsi
jawa tengah,provinsi
jawa timur,provinsi
kalimantan barat,provinsi
kalimantan selatan,provinsi
kalimantan tengah,provinsi
kalimantan timur,provinsi
kalimantan utara,provinsi
kepulauan riau,provinsi
lampung,provinsi
maluku utara,provinsi
maluku,provinsi
nanggroe aceh darussalam,provinsi
nusa tenggara barat,provinsi
nusa tenggara timur,provinsi
papua barat,provinsi
papua,provinsi
riau,provinsi
sulawesi barat,provinsi
sulawesi selatan,provinsi
sulawesi tengah,provinsi
sulawesi tenggara,provinsi
sulawesi utara,provinsi
sumatera barat,provinsi
sumatera selatan,provinsi
sumatera utara,provinsi
badung,kabupaten
bangli,kabupaten
buleleng,kabupaten
denpasar,kabupaten
gianyar,kabupaten
jembrana,kabupaten
karangasem,kabupaten
klungkung,kabupaten
tabanan,kabupaten
bangka barat,kabupaten
bangka selatan,kabupaten
bangka tengah,kabupaten
bangka,kabupaten
belitung timur,kabupaten
belitung,kabupaten
pangkal pinang,kabupaten
cilegon,kabupaten
lebak,kabupaten
pandeglang,kabupaten
serang,kabupaten
tangerang selatan,kabupaten
tangerang,kabupaten
bengkulu selatan,kabupaten
bengkulu tengah,kabupaten
bengkulu utara,kabupaten
bengkulu,kabupaten
kaur,kabupaten
kepahiang,kabupaten
lebong,kabupaten
muko muko,kabupaten
rejang lebong,kabupaten
seluma,kabupaten
bantul,kabupaten
gunung kidul,kabupaten
kulon progo,kabupaten
sleman,kabupaten
yogyakarta,kabupaten
jakarta barat,kabupaten
jakarta pusat,kabupaten
jakarta selatan,kabupaten
jakarta timur,kabupaten
jakarta utara,kabupaten
kepulauan seribu,kabupaten
boalemo,kabupaten
bone bolango,kabupaten
gorontalo utara,kabupaten
gorontalo,kabupaten
pohuwato,kabupaten
batang hari,kabupaten
bungo,kabupaten
jambi,kabupaten
kerinci,kabupaten
merangin,kabupaten
muaro jambi,kabupaten
sarolangun,kabupaten
sungaipenuh,kabupaten
tanjung jabung barat,kabupaten
tanjung jabung timur,kabupaten
tebo,kabupaten
bandung barat,kabupaten
bandung,kabupaten
banjar,kabupaten
bekasi,kabupaten
bogor,kabupaten
ciamis,kabupaten
cianjur,kabupaten
cimahi,kabupaten
cirebon,kabupaten
depok,kabupaten
garut,kabupaten
indramayu,kabupaten
karawang,kabupaten
kuningan,kabupaten
majalengka,kabupaten
pangandaran,kabupaten
purwakarta,kabupaten
subang,kabupaten
sukabumi,kabupaten
sumedang,kabupaten
tasikmalaya,kabupaten
banjarnegara,kabupaten
banyumas,kabupaten
batang,kabupaten
blora,kabupaten
boyolali,kabupaten
brebes,kabupaten
cilacap,kabupaten
demak,kabupaten
grobogan,kabupaten
jepara,kabupaten
karanganyar,kabupaten
kebumen,kabupaten
kendal,kabupaten
klaten,kabupaten
kudus,kabupaten
magelang,kabupaten
pati,kabupaten
pekalongan,kabupaten
pemalang,kabupaten
purbalingga,kabupaten
purworejo,kabupaten
rembang,kabupaten
salatiga,kabupaten
semarang,kabupaten
sragen,kabupaten
sukoharjo,kabupaten
surakarta (solo),kabupaten
tegal,kabupaten
temanggung,kabupaten
wonogiri,kabupaten
wonosobo,kabupaten
bangkalan,kabupaten
banyuwangi,kabupaten
batu,kabupaten
blitar,kabupaten
bojonegoro,kabupaten
bondowoso,kabupaten
gresik,kabupaten
jember,kabupaten
jombang,kabupaten
kediri,kabupaten
lamongan,kabupaten
lumajang,kabupaten
madiun,kabupaten
magetan,kabupaten
malang,kabupaten
mojokerto,kabupaten
nganjuk,kabupaten
ngawi,kabupaten
pacitan,kabupaten
pamekasan,kabupaten
pasuruan,kabupaten
ponorogo,kabupaten
probolinggo,kabupaten
sampang,kabupaten
sidoarjo,kabupaten
situbondo,kabupaten
sumenep,kabupaten
surabaya,kabupaten
trenggalek,kabupaten
tuban,kabupaten
tulungagung,kabupaten
bengkayang,kabupaten
kapuas hulu,kabupaten
kayong utara,kabupaten
ketapang,kabupaten
kubu raya,kabupaten
landak,kabupaten
melawi,kabupaten
pontianak,kabupaten
sambas,kabupaten
sanggau,kabupaten
sekadau,kabupaten
singkawang,kabupaten
sintang,kabupaten
balangan,kabupaten
banjarbaru,kabupaten
banjarmasin,kabupaten
barito kuala,kabupaten
hulu sungai selatan,kabupaten
hulu sungai tengah,kabupaten
hulu sungai utara,kabupaten
kotabaru,kabupaten
tabalong,kabupaten
tanah bumbu,kabupaten
tanah laut,kabupaten
tapin,kabupaten
barito selatan,kabupaten
barito timur,kabupaten
barito utara,kabupaten
gunung mas,kabupaten
kapuas,kabupaten
katingan,kabupaten
kotawaringin barat,kabupaten
kotawaringin timur,kabupaten
lamandau,kabupaten
murung raya,kabupaten
palangka raya,kabupaten
pulang pisau,kabupaten
seruyan,kabupaten
sukamara,kabupaten
balikpapan,kabupaten
berau,kabupaten
bontang,kabupaten
kutai barat,kabupaten
kutai kartanegara,kabupaten
kutai timur,kabupaten
paser,kabupaten
penajam paser utara,kabupaten
samarinda,kabupaten
bulungan (bulongan),kabupaten
malinau,kabupaten
nunukan,kabupaten
tana tidung,kabupaten
tarakan,kabupaten
batam,kabupaten
bintan,kabupaten
karimun,kabupaten
kepulauan anambas,kabupaten
lingga,kabupaten
natuna,kabupaten
tanjung pinang,kabupaten
bandar lampung,kabupaten
lampung barat,kabupaten
lampung selatan,kabupaten
lampung tengah,kabupaten
lampung timur,kabupaten
lampung utara,kabupaten
mesuji,kabupaten
metro,kabupaten
pesawaran,kabupaten
pesisir barat,kabupaten
pringsewu,kabupaten
tanggamus,kabupaten
tulang bawang barat,kabupaten
tulang bawang,kabupaten
way kanan,kabupaten
halmahera barat,kabupaten
halmahera selatan,kabupaten
halmahera tengah,kabupaten
halmahera timur,kabupaten
halmahera utara,kabupaten
kepulauan sula,kabupaten
pulau morotai,kabupaten
ternate,kabupaten
tidore kepulauan,kabupaten
ambon,kabupaten
buru selatan,kabupaten
buru,kabupaten
kepulauan aru,kabupaten
maluku barat daya,kabupaten
maluku tengah,kabupaten
maluku tenggara barat,kabupaten
maluku tenggara,kabupaten
seram bagian barat,kabupaten
seram bagian timur,kabupaten
tual,kabupaten
aceh barat daya,kabupaten
aceh barat,kabupaten
aceh besar,kabupaten
aceh jaya,kabupaten
aceh selatan,kabupaten
aceh singkil,kabupaten
aceh tamiang,kabupaten
aceh tengah,kabupaten
aceh tenggara,kabupaten
aceh timur,kabupaten
aceh utara,kabupaten
banda aceh,kabupaten
bener meriah,kabupaten
bireuen,kabupaten
